Entry,Gene names,Protein names
P35728,MPE1 YKL059C YKL316,Protein MPE1
P32047,MLF3 YMK1 YNL074C N2359,Protein MLF3 (Multicopy suppressor of leflunomide sensitivity 3)
P50873,MRK1 YDL079C,Serine/threonine-protein kinase MRK1 (EC 2.7.11.1)
P53077,MTC3 YGL226W,"Maintenance of telomere capping protein 3, mitochondrial"
Q03825,MSS11 YMR164C YM8520.13C,Transcription activator MSS11 (Multicopy suppressor of STA genes protein 11)
Q02201,OSH6 YKR003W YK102,Oxysterol-binding protein homolog 6
P36147,PAM17 FMP18 YKR065C,"Presequence translocated-associated motor subunit PAM17, mitochondrial"
P40345,LRO1 YNR008W N2042,Phospholipid:diacylglycerol acyltransferase (PDAT) (EC 2.3.1.158) (LCAT-related open reading frame 1) (Lecithin cholesterol acyl transferase-related open reading frame 1) (Triacylglycerol synthase) (TAG synthase)
P53343,PAU12 YGR294W,Seripauperin-12
P19735,PRP6 RNA6 YBR055C YBR0508,Pre-mRNA-splicing factor 6
Q04373,PUF6 YDR496C D9719.2,Pumilio homology domain family member 6
P25367,RNQ1 YCL028W YCL181 YCL28W,[PIN+] prion protein RNQ1 (Rich in asparagine and glutamine protein 1)
P50106,RPA14 YDR156W YD8358.11,DNA-directed RNA polymerase I subunit RPA14 (A14) (DNA-directed RNA polymerase I 14 kDa polypeptide)
Q04599,MRPL1 YDR116C YD9727.11C,"54S ribosomal protein L1, mitochondrial (Mitochondrial large ribosomal subunit protein uL1m)"
P36527,MRPL28 YDR462W D8035.6,"54S ribosomal protein L28, mitochondrial (Mitochondrial large ribosomal subunit protein mL40) (YmL28)"
Q06678,MRPL35 YDR322W D9798.5,"54S ribosomal protein L35, mitochondrial (Mitochondrial large ribosomal subunit protein mL38) (YmL35)"
P36517,MRPL4 YLR439W L9753.1,"54S ribosomal protein L4, mitochondrial (Mitochondrial large ribosomal subunit protein uL29m) (YmL4)"
P30771,NAM7 IFS2 MOF4 UPF1 YMR080C YM9582.05C,ATP-dependent helicase NAM7 (EC 3.6.4.-) (Nonsense-mediated mRNA decay protein 1) (Nuclear accommodation of mitochondria 7 protein) (Up-frameshift suppressor 1)
Q12374,NCA2 YPR155C,Nuclear control of ATPase protein 2
Q03435,NHP10 HMO2 YDL002C YD8119.05C,Non-histone protein 10 (High mobility group protein 2)
Q03210,NGL3 YML118W YM7056.08 YM8339.01,Probable RNA exonuclease NGL3 (EC 3.1.-.-)
P39923,NPR2 YEL062W,Nitrogen permease regulator 2
P47077,NOP9 YJL010C J1357,Nucleolar protein 9 (Pumilio domain-containing protein NOP9)
P31378,NTG1 OGG2 SCR1 YAL015C FUN33,Endonuclease III homolog 1 (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase 1) (DNA glycosylase/AP lyase 1) (Endonuclease III-like glycosylase 1) (Redoxyendonuclease 1)
Q03718,NSE5 YML023C,Non-structural maintenance of chromosome element 5 (Non-SMC element 5)
Q02785,PDR12 YPL058C LPE14C,ATP-dependent permease PDR12
P43122,QRI7 YDL104C D2366,"tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein QRI7) (tRNA threonylcarbamoyladenosine biosynthesis protein QRI7)"
P06777,RAD1 YPL022W,DNA repair protein RAD1
Q06891,RAF1 R0030W,Trans-acting factor D (REP-antagonizing factor) (Recombinase-activating factor) (RAF)
P56628,RPL22B YFL034C-A YFL034BC,60S ribosomal protein L22-B (L1c) (Large ribosomal subunit protein eL22-B) (RP4) (YL31)
P0C2H8,RPL31A RPL34 RPL34A YDL075W D2478,60S ribosomal protein L31-A (L34) (Large ribosomal subunit protein eL31-A) (YL28)
P61830,HHT1 YBR010W YBR0201; HHT2 SIN2 YNL031C N2749,Histone H3
Q12329,HSP42 YDR171W YD9395.04,Heat shock protein 42 (42 kDa heat shock protein)
P40481,HPM1 MNI1 YIL110W,Histidine protein methyltransferase 1 (EC 2.1.1.85) (Mitotic exit network interactor 1)
P38790,HTD2 RMD12 YHR067W,"Hydroxyacyl-thioester dehydratase type 2, mitochondrial (EC 4.2.1.-) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase)"
P47124,HOC1 YJR075W J1830,Putative glycosyltransferase HOC1 (EC 2.4.-.-) (M-Pol II subunit Hoc1p) (Mannan polymerase II complex HOC1 subunit)
Q08295,IMA2 YOL157C,"Oligo-1,6-glucosidase IMA2 (EC 3.2.1.10) (Alpha-glucosidase) (Isomaltase 2)"
P28742,KIP1 CIN9 YBL063W YBL0504 YBL0521,Kinesin-like protein KIP1 (Chromosome instability protein 9)
P25586,KRR1 YCL059C YCL59C,KRR1 small subunit processome component (KRR-R motif-containing protein 1) (Ribosomal RNA assembly protein KRR1)
P38257,MMS4 SLX2 YBR098W YBR0826 YBR0829 YBR100W,Crossover junction endonuclease MMS4 (EC 3.1.22.-)
P53114,NUT1 MED5 YGL151W G1876,Mediator of RNA polymerase II transcription subunit 5 (Mediator complex subunit 5) (Negative regulator of URS2 protein 1)
Q08471,MSA1 YOR066W YOR29-17,G1-specific transcription factors activator MSA1 (MBF and SBF-associated protein 1)
P08018,PBS2 HOG4 SFS4 SSK4 YJL128C J0699,MAP kinase kinase PBS2 (EC 2.7.12.2) (Polymyxin B resistance protein 2) (Suppressor of fluoride sensitivity 4)
P26263,PDC6 YGR087C,Pyruvate decarboxylase isozyme 3 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)
Q12462,PEX11 PMP24 PMP27 YOL147C O0454,Peroxisomal membrane protein PMP27 (Peroxin-11)
Q08215,PEX15 PAS21 YOL044W,Peroxisomal membrane protein PEX15 (Peroxin-15) (Peroxisome biosynthesis protein PAS21)
Q06169,PEX30 YLR324W,Peroxisomal membrane protein PEX30 (Peroxin-30)
Q12342,LDB17 YDL146W D1575,Protein LDB17 (Low dye-binding protein 17)
P40504,KTR7 YIL085C,Probable mannosyltransferase KTR7 (EC 2.4.1.-)
P40335,PEP8 GRD6 VPS26 VPT4 YJL053W J1152,Carboxypeptidase Y-deficient protein 8 (Vacuolar protein sorting-associated protein 26) (Vacuolar protein-targeting protein 4)
Q06494,YPR127W,Putative pyridoxal reductase (PL reductase) (PL-red) (EC 1.1.1.65)
P38148,PPS1 YBR276C YBR2013,Dual specificity protein phosphatase PPS1 (EC 3.1.3.16) (EC 3.1.3.48)
P06779,RAD7 YJR052W J1665,DNA repair protein RAD7
Q12044,RCN2 WSP1 YOR220W YOR50-10,Regulator of calcineurin 2 (Weak suppressor of PAT1 ts protein 1)
Q12465,RAX2 YLR084C L2389 L9449.12,Bud site selection protein RAX2 (Revert to axial protein 2)
P39729,RBG1 FUN11 YAL036C,Ribosome-interacting GTPase 1 (GTP-binding protein RBG1) (Genetically interacts with ribosomal genes protein 1)
P32864,MRS6 MSI4 YOR370C,Rab proteins geranylgeranyltransferase component A (Rab escort protein) (REP)
P06780,RHO1 YPR165W P9325.3,GTP-binding protein RHO1 (Rho-type GTPase 1)
P38066,RIB1 YBL033C YBL0417,GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)
P24000,RPL24B RPL30B YGR148C G6635,60S ribosomal protein L24-B (L30) (Large ribosomal subunit protein eL24-B) (RP29) (YL21)
P05749,RPL22A YLR061W L2168,60S ribosomal protein L22-A (L1c) (Large ribosomal subunit protein eL22-A) (RP4) (YL31)
P05744,RPL33A RPL37A YPL143W LPI4W P2625,60S ribosomal protein L33-A (L37) (Large ribosomal subunit protein eL33-A) (RP47) (YL37)
P0CX25,RPL43A YPR043W YP9499.02,60S ribosomal protein L43-A (L37a) (Large ribosomal subunit protein eL43-A) (YL35)
Q12508,RMD5 GID2 YDR255C YD9320A.05c,E3 ubiquitin-protein ligase RMD5 (EC 2.3.2.27) (Glucose-induced degradation protein 2) (Required for meiotic nuclear division protein 5) (Sporulation protein RMD5)
P53196,RPN14 YGL004C,26S proteasome regulatory subunit RPN14 (Proteasome non-ATPase subunit 14)
P38624,PRE3 YJL001W J1407,Proteasome subunit beta type-1 (EC 3.4.25.1) (Macropain subunit PRE3) (Multicatalytic endopeptidase complex subunit PRE3) (Proteasome component PRE3) (Proteinase YSCE subunit PRE3)
P20053,PRP4 RNA4 YPR178W P9705.6,U4/U6 small nuclear ribonucleoprotein PRP4 (Pre-mRNA-processing protein 4)
Q05911,ADE13 YLR359W L8039.12,Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)
P25332,RBK1 YCR036W YCR36W YCR523,Ribokinase (RK) (EC 2.7.1.15)
P38212,RCR1 YBR005W YBR0111,Protein RCR1 (Resistance to Congo red protein 1)
P04456,RPL25 YOL127W,60S ribosomal protein L25 (Large ribosomal subunit protein uL23) (RP16L) (YL25) (YP42')
P04650,RPL39 RPL46 SPB2 YJL189W J0360,60S ribosomal protein L39 (L46) (Large ribosomal subunit protein eL39) (YL40)
P0CX84,RPL35A SOS1 YDL191W D1249,60S ribosomal protein L35-A (Large ribosomal subunit protein uL29-A)
P38064,MRPL16 RML16 YBL038W YBL0411,"54S ribosomal protein L16, mitochondrial (Mitochondrial large ribosomal subunit protein uL16m) (YmL47)"
P27999,RPB9 YGL070C,DNA-directed RNA polymerase II subunit RPB9 (RNA polymerase II subunit B9) (B12.6) (DNA-directed RNA polymerase II 14.2 kDa polypeptide) (DNA-directed RNA polymerase II subunit 9)
P36521,MRPL11 YDL202W D1070,"54S ribosomal protein L11, mitochondrial (Mitochondrial large ribosomal subunit protein uL10m) (YmL11)"
P25381,RRT12 OSW3 YCR045C YCR45C,Subtilase-type proteinase RRT12 (EC 3.4.21.-) (Outer spore wall protein 3) (Regulator of rDNA transcription protein 12)
P53312,LSC2 YGR244C G8625,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)"
Q06817,GRS2 YPR081C,Glycine--tRNA ligase 2 (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (Ap4A synthetase) (EC 2.7.7.-) (Glycyl-tRNA synthetase 2) (GlyRS 2) (GlyRS2)
P38141,THI2 PHO6 YBR240C YBR1624,Thiamine biosynthesis regulatory protein
P36026,UBP11 YKR098C,Ubiquitin carboxyl-terminal hydrolase 11 (EC 3.4.19.12) (Deubiquitinating enzyme 11) (Ubiquitin thioesterase 11) (Ubiquitin-specific-processing protease 11)
P40537,ULP2 SMT4 YIL031W,Ubiquitin-like-specific protease 2 (EC 3.4.22.-)
Q02159,UBC7 QRI8 YMR022W YM9711.12,Ubiquitin-conjugating enzyme E2 7 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 7) (Ubiquitin carrier protein) (Ubiquitin-conjugating enzyme E2-18 kDa) (Ubiquitin-protein ligase)
P53146,USE1 SLT1 YGL098W,Protein transport protein USE1 (SNARE-like tail-anchored protein 1) (Unconventional SNARE in the endoplasmic reticulum protein 1)
Q04629,SWF1 PSL10 YDR126W YD9302.01 YD9727.21,Palmitoyltransferase SWF1 (EC 2.3.1.225) (Spore wall formation protein 1)
P32584,STE14 YDR410C D9461.1,Protein-S-isoprenylcysteine O-methyltransferase (ICMT) (EC 2.1.1.100) (Isoprenylcysteine carboxylmethyltransferase) (Prenylated protein carboxyl methyltransferase) (PPMT) (Prenylcysteine carboxyl methyltransferase) (pcCMT)
Q06688,BER1 YLR412W L9931.5,SRR1-like protein BER1 (Benomyl resistant protein 1)
P32597,STH1 NPS1 YIL126W,Nuclear protein STH1/NPS1 (EC 3.6.4.12) (ATP-dependent helicase STH1) (Chromatin structure-remodeling complex protein STH1) (SNF2 homolog)
P53616,SUN4 SCW3 YNL066W N2411 YNL2411W,Probable secreted beta-glucosidase SUN4 (EC 3.2.1.-) (Septation protein SUN4) (Soluble cell wall protein 3)
P38359,SUL1 SFP2 YBR294W YBR2110,Sulfate permease 1 (High-affinity sulfate transporter 1)
Q12455,SPE4 YLR146C L9634.5,Spermine synthase (SPMSY) (EC 2.5.1.22) (Spermidine aminopropyltransferase)
P40825,ALA1 CDC64 YOR335C,"Alanine--tRNA ligase, mitochondrial (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)"
P23255,TAF2 TAF150 TSM1 YCR042C YCR42C YCR724,Transcription initiation factor TFIID subunit 2 (TAFII-150) (TBP-associated factor 150 kDa) (TBP-associated factor 2) (TSM-1)
P36165,TGL4 STC1 YKR089C YKR409,Triacylglycerol lipase 4 (EC 3.1.1.3) (Lipase 4)
Q08975,THI21 YPL258C,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase THI21 (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase)
P16120,THR4 YCR053W YCR53W,Threonine synthase (TS) (EC 4.2.3.1)
P36137,UIP5 YKR044W,Protein UIP5 (ULP1-interacting protein 5)
P06104,RAD6 UBC2 YGL058W,Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Radiation sensitivity protein 6) (Ubiquitin carrier protein UBC2) (Ubiquitin-protein ligase UBC2)
P40478,POR2 YIL114C,Mitochondrial outer membrane protein porin 2 (Voltage-dependent anion-selective channel protein 2) (VDAC-2)
P23642,VAN1 VRG7 YML115C YM8339.04C,Mannan polymerase I complex VAN1 subunit (M-pol I subunit VAN1) (Vanadate resistance protein)
P33418,LOS1 YKL205W,Exportin-T (Exportin(tRNA)) (Karyopherin-beta) (tRNA exportin)
Q3E819,YCR108C,Uncharacterized protein YCR108C
Q12193,TY1B-BR YBRWTy1-2 POL YBR012W-B YBR0207,Transposon Ty1-BR Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]
P0CF00,YLR157W-E,Putative uncharacterized protein YLR157W-E
Q12331,YDR262W YD9320B.01,FAS1 domain-containing protein YDR262W
Q05497,YDR338C D9651.8,Uncharacterized transporter YDR338C
Q06252,YLR179C L9470.20,Uncharacterized protein YLR179C
Q3E816,YGR121W-A,Uncharacterized protein YGR121W-A
Q12269,TY1B-GR2 YGRCTy1-2 POL YGR038C-B G4126,Transposon Ty1-GR2 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]
Q12085,TY1A-GR1 YGRWTy1-1 GAG YGR027W-A G4052,Transposon Ty1-GR1 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]
P53270,YGR117C G6172,Uncharacterized protein YGR117C
P42942,YGR210C G7748,Uncharacterized GTP-binding protein YGR210C
P36155,YKR075C,Uncharacterized protein YKR075C
P0CD98,YLL053C L0587,Putative uncharacterized protein YLL053C
Q12367,RKM5 YLR137W L3146,Ribosomal lysine N-methyltransferase 5 (EC 2.1.1.-)
P0C0W9,RPL11A RP39A RPL16A YPR102C P8283.14,60S ribosomal protein L11-A (L16) (Large ribosomal subunit protein uL5-A) (RP39) (YL22)
P0CX53,RPL12A RPL15B YEL054C,60S ribosomal protein L12-A (L15) (Large ribosomal subunit protein uL11-A) (YL23)
Q03691,ROT1 YMR200W YM8325.01,Protein ROT1 (Reversal of TOR2 lethality protein 1)
P20435,RPO26 RPB6 YPR187W P9677.8,"DNA-directed RNA polymerases I, II, and III subunit RPABC2 (RNA polymerases I, II, and III subunit ABC2) (ABC23) (DNA-directed RNA polymerases I, II, and III 23 kDa polypeptide)"
P32388,MRP49 YKL167C YKL631,"54S ribosomal protein MRP49, mitochondrial (Mitochondrial large ribosomal subunit protein mL61)"
P38902,RPB11 YOL005C,DNA-directed RNA polymerase II subunit RPB11 (RNA polymerase II subunit B11) (B13.6) (DNA-directed RNA polymerase II 13.6 kDa polypeptide)
P35177,SPT7 YBR081C YBR0739,Transcriptional activator SPT7
P35210,SPT23 YKL020C,Protein SPT23
P53277,SYF2 NTC31 YGR129W,Pre-mRNA-splicing factor SYF2 (PRP19 complex protein 31) (Synthetic lethal with CDC40 protein 2)
P39001,UME6 CAR80 CARGR1 NIM2 RIM16 YDR207C YD8142.04C,Transcriptional regulatory protein UME6 (Negative transcriptional regulator of IME2) (Regulator of inducer of meiosis protein 16) (Unscheduled meiotic gene expression protein 6)
Q04411,URC2 YDR520C,Uracil catabolism protein 2
P38329,VHC1 YBR235W YBR1601,Vacuolar cation-chloride cotransporter 1 (Vacuolar homolog of CCC family protein 1)
P34110,VPS35 VPT7 YJL154C J0580,Vacuolar protein sorting-associated protein 35 (Vacuolar protein-targeting protein 7)
P14680,YAK1 YJL141C J0652,Dual specificity protein kinase YAK1 (EC 2.7.12.1)
Q12491,TY2B-B YBLWTy2-1 POL YBL100W-B YBL0822 YBL101W-B,Transposon Ty2-B Gag-Pol polyprotein (TY2A-TY2B) (Transposon Ty2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA); Ty2 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]
P38081,YBR056W YBR0510,Uncharacterized glycosyl hydrolase YBR056W (EC 3.2.1.-)
P38201,YBL029W YBL0422,Uncharacterized protein YBL029W
P0C2J4,TY2A-LR1 YLRWTy2-1 GAG YLR410W-A L9931.7b,Transposon Ty2-LR1 Gag polyprotein (TY2A) (TYA) (Transposon Ty2 protein A) [Cleaved into: Capsid protein (CA); Gag-p4]
Q06146,YLR257W,Uncharacterized protein YLR257W
P35723,YET1 YKL065C YKL331,Endoplasmic reticulum transmembrane protein 1
P53185,YGL036W,Uncharacterized protein YGL036W
Q8TGK1,YHR213W-B,Uncharacterized protein YHR213W-B
P25620,YCR022C YCR22C,Uncharacterized protein YCR022C
P39523,YMR124W YM8564.06,Uncharacterized protein YMR124W
P38765,YHI9 YHR029C,Uncharacterized isomerase YHI9 (EC 5.1.-.-)
Q04214,TY1B-MR1 YMRCTy1-3 POL YMR045C YM9532.10C,Transposon Ty1-MR1 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]
Q3E789,YDR169C-A smORF118 SR2,Uncharacterized protein YDR169C-A
Q3E826,YKL068W-A,Uncharacterized protein YKL068W-A
P0CY02,YLR154C-H smORF494 SR15,Uncharacterized protein YLR154C-H
Q12243,YOR029W O2663 OR26.19 YOL303.13,Uncharacterized protein YOR029W
Q03761,TAF12 TAF61 TAF68 YDR145W YD8358.02,Transcription initiation factor TFIID subunit 12 (TAFII-61) (TAFII61) (TAFII-68) (TAFII68) (TBP-associated factor 12) (TBP-associated factor 61 kDa)
P25638,TAH1 YCR060W YCR60W,TPR repeat-containing protein associated with Hsp90
Q02648,TRM44 YPL030W,tRNA (uracil-O(2)-)-methyltransferase (EC 2.1.1.211) (tRNA(Ser) (uridine(44)-2'-O)-methyltransferase) (tRNA Um(44) 2'-O-methyltransferase)
P53507,TOM7 MOM7 YNL070W N2378,Mitochondrial import receptor subunit TOM7 (Translocase of outer membrane 7 kDa subunit)
P28274,URA7 YBL039C YBL0410,CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)
Q06708,VAC14 SVP2 YLR386W L3502.1,Vacuole morphology and inheritance protein 14 (Swollen vacuole phenotype 2 protein)
Q12339,UTP23 YOR004W,rRNA-processing protein UTP23 (U three protein 23) (U3 small nucleolar RNA-associated protein 23) (U3 snoRNA-associated protein 23)
P47142,VPS25 VPT25 YJR102C J1957,Vacuolar protein-sorting-associated protein 25 (ESCRT-II complex subunit VPS25)
P53116,YGL149W G1895,Uncharacterized protein YGL149W
P53110,YGL159W G1840,Uncharacterized protein YGL159W
P43562,YFL040W,Probable metabolite transport protein YFL040W
P53139,YGL108C G3070,Uncharacterized protein YGL108C
P43537,YFL067W,Uncharacterized membrane protein YFL067W
P0CX99,YFL068W,UPF0479 membrane protein YFL068W
P40483,YIL108W,Putative zinc metalloproteinase YIL108W (EC 3.4.24.-)
P38087,YMC2 YBR104W YBR0833,"Carrier protein YMC2, mitochondrial"
Q3E740,YGL258W-A,Uncharacterized protein YGL258W-A
P43608,YFR035C,Uncharacterized protein YFR035C
P47024,TY4B-J YJLWTy4-1 POL YJL113W J0780,Transposon Ty4-J Gag-Pol polyprotein (TY4A-TY4B) (Transposon Ty4 TYA-TYB polyprotein) [Includes: Capsid protein (CA); Ty4 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]
P47078,YJL009W J1369,Uncharacterized protein YJL009W
P40218,YMR147W YM9375.17,Uncharacterized protein YMR147W
Q12027,YDL176W,Uncharacterized protein YDL176W
Q12407,YDL199C D1209,Putative metabolite transport protein YDL199C
P38833,YHR127W,Uncharacterized protein YHR127W
Q12210,YDL009C,Uncharacterized protein YDL009C
Q12445,POM34 YLR018C,Nucleoporin POM34 (Nuclear pore protein POM34) (Pore membrane protein POM34)
P54885,PRO2 YOR323C O6155,Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (GSA dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)
P39104,PIK1 YNL267W N0795,Phosphatidylinositol 4-kinase PIK1 (PI4-kinase) (PtdIns-4-kinase) (EC 2.7.1.67)
P23833,SCO1 YBR037C YBR0406,"Protein SCO1, mitochondrial"
P53823,SNO2 YNL334C N0285,Probable pyridoxal 5'-phosphate synthase subunit SNO2 (EC 4.3.3.6) (PDX2 homolog 2) (Pdx2.2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)
P38241,ECM2 SLT11 YBR065C YBR0614,Pre-mRNA-splicing factor SLT11 (Extracellular mutant protein 2) (Synthetic lethality with U2 protein 11)
P17123,SPO12 YHR152W,Sporulation-specific protein 12
P38704,STP2 YHR006W,Transcription factor STP2
Q12038,SRO7 SNI1 SOP1 YPR032W YP9367.12,Lethal(2) giant larvae protein homolog SRO7 (Polarity protein SRO7) (Sodium protection protein 1) (Suppressor of RHO3 protein 7)
P53873,SWT21 YNL187W N1615,Protein SWT21 (Synthetic With TGS1 protein 21)
P36085,STB6 YKL072W YKL352,Protein STB6
P08458,SPS1 YDR523C D9719.27,Sporulation-specific protein 1 (EC 2.7.11.1)
Q03012,SPP1 CPS40 SAF41 YPL138C,COMPASS component SPP1 (Complex proteins associated with SET1 protein SPP1) (Set1C component SPP1) (Suppressor of PRP protein 1)
Q12325,SUL2 SEL2 YLR092W L9449.1,Sulfate permease 2 (High-affinity sulfate transporter 2)
P32772,UGX2 YDL169C,Protein UGX2
P38290,UBS1 YBR165W YBR1217,Ubiquitin-conjugating enzyme suppressor 1
P40547,VID28 GID5 YIL017C,Vacuolar import and degradation protein 28 (Glucose-induced degradation protein 5)
